procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0  54692  11344    796  33016   12   19    78    41  666  828 24 10 66  1
 1  0  54600  11156    796  33128    0    0     0     0 2830 4453 33 18 49  0
 3  0  54600  11188    796  33212    0    0     0     0 3067 5050 36 21 43  0
 0  0  54596  10876    796  33340    0    0     0     0 2913 5733 42 21 37  0
 9  0  54596  10860    796  33456    0    0     0     0 2726 5480 39 17 44  0
 1  0  54564  10860    804  33600   12    0    12    60 2953 6020 39 16 45  0
 6  0  54556  10860    804  33820    0    0    56     0 3018 5948 39 22 38  0
 1  0  54540  10672    804  33892    4    0     4     0 2674 5147 35 18 47  0
 1  0  54528  10612    804  33996    0    0     0     0 2726 5920 48 25 27  0
 4  0  54528  10308    804  34120    0    0     0     0 2276 3855 37 26 37  0
 5  0  55400  10592    784  33900  264  908   264   932 2458 3866 45 33 20  3
 1  0  55392  10884    784  33992   20    0    20     0 3318 6890 50 21 30  0
 0  0  55388  10884    784  34196   64    0    64     0 2933 4854 38 18 43  0
 3  0  55276  10820    784  34284  288    0   288     0 3083 5885 43 21 36  0
 2  0  55248  10064    784  34360   68    0    68     0 2473 4164 39 22 39  0
 0  0  55248  10512    792  34568    0    0     0    12 3045 6600 40 25 35  0
 0  0  55224  10452    792  34616    8    0     8     0 3455 6180 34 20 46  0
 1  0  55192  10268    792  34720   32    0    32     0 3349 6081 33 16 52  0
 7  0  56052  10988    668  34452  180  916   180   916 3275 6147 40 23 36  1
 0  0  56008  10956    672  34540  184    0   188     0 2833 5131 42 28 29  0
 3  0  55964  10960    680  34656   68    0    68    44 3136 6795 34 18 48  0
 1  0  55876  10836    688  34868  116    0   124     0 3157 6632 35 16 49  0
 3  0  55832  10432    688  34908  164    0   164     0 2787 5790 40 20 40  0
 4  0  55828  10244    688  35140    0    0     0     0 3071 6831 42 20 39  0
 6  0  55768  10152    688  35168   32    0    32     0 2998 5474 38 22 41  0
 4  0  56320  10740    696  35008  316  720   316  1392 3025 5732 40 22 36  1
 1  0  56608  11504    700  34932  124  356   248  3228 3001 5792 42 24 34  0
 1  0  57020  11276    692  34868  112  480   464   480 2795 4658 39 22 37  2
 1  0  57008  11440    692  34948   20    0    20     0 3105 6514 40 25 36  0
 4  0  56992  11504    692  35076   24    0    24     0 3156 5473 34 22 45  0
 2  0  56980  11412    700  35280    0    0     0    76 3142 6955 34 17 49  0
 5  0  56968  11348    700  35324   84    0    84     0 3221 6297 35 16 49  0
 5  0  56936  11164    700  35436  160    0   160     0 3075 5826 37 20 43  0
 1  0  56752  10572    700  35564  352    0   352     0 3112 6666 43 22 35  0
 1  0  56700  10172    700  35700  128    0   128     0 3146 6060 31 18 50  0
 5  0  57124  10512    684  35288  612  724   628   736 3660 4767 73 18  9  0
 3  0  58108  11316    716  34868 1320 1308  1500  1308 3704 5292 67 21 12  0
 1  0  57996  11164    716  34968  236    0   324     0 3058 5739 38 19 43  0
 4  0  57936  10976    720  35076   88    0    92     0 2823 5716 44 25 32  0
 1  0  57896  10852    720  35220   48    0    48     0 3139 6674 36 15 49  0
 1  0  57732  10544    728  35384  212    0   212    36 3225 5934 37 20 44  0
 6  0  57720  10388    728  35464   96    0    96     0 3089 6110 43 21 37  0
 0  0  57684  10328    728  35596  116    0   116     0 3134 5831 39 18 43  0
 5  0  57892  10980    716  35084  260  320   260   320 3147 5986 40 24 35  1
 3  0  57808  10980    716  35224  180    0   192     0 3046 6395 41 19 39  0
 6  0  57808  10980    724  35344    8    0     8    12 3176 5697 38 20 42  0
 1  0  57780  10576    724  35600  100    0   180     0 3133 4825 47 19 35  0
 1  0  57736  10484    724  35636   32    0    32     0 3101 4670 33 20 46  0
 0  0  57728  10484    724  35708    4    0     4     0 3261 4354 24 15 61  0
 0  0  57684  10236    724  35784  100    0   100     0 3000 3816 29 16 55  0
 3  0  57656   9864    732  35840   80    0    80    12 2284 2681 28 17 55  0
 1  0  57632   9616    732  36044   12    0   168  1076 2122 2591 27 19 54  0
 1  0  57624   9540    732  36176   32    0   128     0 1754 1805 23 19 59  0
 0  0  57608   9540    732  36200    8    0     8     0 1231 1225 25 11 64  0
 0  0  57584   9540    732  36208   36    0    36     0  695  617 14  4 82  0
 0  0  57552   8424    772  36380   32    0   248    20  417  376  9  1 90  0
MEDIA
NR:  58 CPU:  56.8036
