procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  1  41548  12040    476  23576   11   16    83    38  619  752 23  9 67  1
 2  0  42420  13208    476  23476  292  900   292   900 2550 2139 24 17 56  3
 7  0  42408  13208    476  23448   80    0    80     0 2018 2344 25 12 63  0
 0  0  42396  13176    620  23532    0    0   144     0 2377 2952 24 16 60  0
 1  0  42396  13208    620  23584    0    0     0     0 2388 2950 20 11 69  0
 2  0  42392  13084    628  23628    0    0     0    68 2343 3066 21 13 66  0
 6  0  42364  12960    628  23668   48    0    48     0 2095 2483 32 15 53  0
 1  0  42168  12588    628  23876  320    0   460     0 2613 2984 45 20 35  0
 1  0  42168  12588    628  23924    0    0     0     0 2122 2526 28 17 55  0
 1  0  42164  12464    628  24036    0    0    60     0 2407 3039 25 16 59  0
 0  0  42156  12464    636  24080    4    0     4    12 2337 2807 28 12 59  0
 1  0  42148  12340    636  24108   32    0    32     0 2277 2748 26 22 52  0
 0  0  42144  12340    636  24188   32    0    32     0 2419 3122 21 15 64  0
 1  0  42144  12216    636  24236    0    0     0     0 2201 2769 21 15 64  0
 2  0  42132  12216    636  24288    0    0     0     0 2339 2915 25 18 57  0
 8  0  42120  12216    644  24328    4    0     4    12 2344 2842 21 12 67  0
 2  0  42120  12124    644  24388    0    0     0     0 2411 3080 20 16 64  0
 0  0  42120  12092    644  24440    0    0     0     0 2457 3130 22 16 63  0
 5  0  42116  12092    644  24492    0    0     0     0 2128 2446 30 22 48  0
 1  0  42104  12092    644  24544    0    0     0     0 2428 2919 33 18 49  0
 2  0  42072  11968    652  24584   68    0    68    20 2216 2779 25 14 61  0
 2  0  41972  11100    652  24640  196    0   196     0 2428 3075 63 12 25  0
 1  0  41948  10976    652  24692   68    0    68     0 2393 2571 68 13 19  0
 0  0  41916  10356    652  24744   48    0    48     0 2371 2575 41 12 48  0
 0  0  41900  10356    652  24792    0    0     0     0 2245 2940 23 15 62  0
 1  0  41888  10388    664  24832    0    0     4   348 2244 2815 22 18 60  0
 4  0  41876  10356    664  24892    0    0     0     0 2253 2714 25 21 54  0
 0  0  41860  10356    664  24936   64    0    64     0 1954 2498 29 24 47  0
 1  0  41812  10356    664  24992   96    0    96     0 2360 2890 26 12 62  0
 2  0  41804  10356    664  25040    0    0     0     0 2239 2812 24 18 58  0
 0  0  41780  10232    672  25096    0    0     0    12 2361 3052 28 18 54  0
 3  0  41764  10232    672  25144   32    0    32     0 2218 2733 23 15 62  0
 1  0  41764  10108    672  25192    0    0     0     0 2286 2683 60 15 26  0
 1  0  41764  10108    672  25244    0    0     0     0 2392 2962 24 13 63  0
 0  0  41764   9984    672  25292    0    0     0     0 2140 2697 22 16 62  0
 2  0  41764   9984    680  25336    0    0     0  1632 2337 2757 32 21 47  0
 0  0  41764   9984    680  25396    0    0     0     0 2399 3086 27 23 50  0
 4  0  41764   9984    680  25444    0    0     0     0 2192 2623 28 19 53  0
 0  0  41764   9860    680  25496    0    0     0     0 2267 2892 21  9 70  0
 0  0  41744   9860    680  25548    0    0     0     0 2345 3034 23 14 63  0
 1  0  41736   9860    688  25588    0    0     0    12 2099 2690 26 16 59  0
 0  0  41712   8836    688  25916   84    0   344    16 2544 3083 22 18 61  0
 0  0  41712   8836    688  25968    0    0     0     0 2280 2992 20 14 66  0
 4  0  41712   8868    688  26016    0    0     0     0 2153 2526 23 16 61  0
 0  0  41712   8868    688  26064    0    0     0     0 2344 2732 31 18 51  0
 1  0  41708   8868    688  26104    0    0     0     0 1801 2113 30 15 55  0
 2  0  41708   8588    696  26140    0    0     0    64 2257 2308 60 13 28  0
 0  0  41708   8620    696  26176    0    0     0     0 1690 2077 21 12 67  0
 0  0  41708   8652    696  26200    0    0     0     0 1480 1616 20 13 67  0
 0  0  41704   8652    696  26224    0    0     0     0 1396 1450 17 12 71  0
 0  0  41700   8652    696  26240    0    0     0     0 1184 1234 18 11 72  0
 0  0  41692   8684    704  26256    0    0     0    12 1142 1185 17 10 73  0
 0  0  41692   8652    704  26264    0    0     0     0  616  548 12  4 84  0
 1  0  41688   8652    704  26268    0    0     0     0  515  462  8  2 89  0
MEDIA
NR:  56 CPU:  42.2407
