procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 7  0  54072  10144    740  25788   23   27    88    53  734  967 25 11 64  1
 4  0  53996   9880    740  25860   44    0    44     0 2527 5046 44 22 34  1
 6  1  55304  10220    728  25828  160 1332   160  1332 3309 4970 43 28 28  0
 5  0  56148  10556    728  25516  716 1036   776  2028 4803 5081 47 26 15 11
 3  0  58172  10272    720  25012 1160 2180  1168  2312 4273 2987 66 27  3  5
 6  0  58128   9868    728  25184  280    0   288     0 2836 2904 70 27  3  0
 4  0  58072   9680    728  25372   80    0    80     0 2201 2332 67 30  3  0
 4  0  57996   9060    736  25836  236    0   612     0 2592 2450 73 24  3  0
 4  0  57948   9092    736  25892   56    0    56     0 2158 1835 67 28  5  0
 6  0  57944   8828    744  25976    0    0     0    40 2670 2641 72 23  5  0
 2  0  57928   8672    744  26172   48    0    48     0 2844 2945 73 23  5  0
 4  0  59168   9912    728  25792  536 1440   576  1440 3809 2599 68 28  3  1
 7  0  59084   9820    728  25948  392    0   392     0 2638 2759 66 25 10  0
 6  0  59052   9632    728  26248    4    0     4     0 2688 2825 71 22  7  0
 2  0  58956   9384    736  26352  144    0   144    12 2950 2814 70 25  6  0
 3  0  58792   9012    736  26560  136    0   140     0 2942 2887 70 24  6  0
 5  0  58760   8888    736  26724   96    0    96     0 2640 2785 73 21  6  0
 4  0  58588   8516    736  26856  284    0   284     0 2766 2965 68 24  9  0
 3  0  59376   8996    728  26648   32  856    32   856 3203 3117 70 25  6  0
 1  0  59356   8900    736  26800  296    0   364    28 2513 2574 68 24  8  1
 5  0  59300   8528    736  27112  132    0   216     0 2778 2789 70 23  7  0
 1  0  59224   8404    736  27260   52    0    52     0 3076 2970 74 21  6  0
 1  0  59732   8884    732  26804  360  708   360   708 4365 5288 73 21  5  1
 2  0  59676   8620    732  27008  184    0   184     0 2689 2761 69 25  6  0
 5  0  59660   8620    740  27104    0    0     0    12 3181 3325 72 23  4  0
 4  0  59536   8324    740  27228  180    0   180     0 2852 2994 69 25  6  0
 0  0  59536   8388    740  27452    0    0     0     0 3147 6893 45 23 32  0
 5  0  60224   9164    720  26976  192  716   240   716 3848 6269 45 23 31  1
 5  0  60004   9184    720  27180  260    0   280     0 3446 6751 56 22 23  0
 2  0  60000   9156    728  27308    0    0     0    12 3272 7219 48 21 32  0
 4  0  59992   9036    732  27464   32    0    36     0 2788 5746 46 25 30  0
 1  0  59932   8816    732  27768   28    0    84     0 3418 7476 47 22 31  0
 2  0  59908   8728    732  27940   64    0    64     0 3318 7329 43 25 32  0
 4  0  59860   8704    732  28120   80    0    80     0 2952 5868 44 27 30  0
 4  0  60624   9408    724  27384    8  800     8  1092 3741 4911 44 24 29  3
 1  0  60500   9344    724  27548  488    0   488     0 2880 3539 67 26  8  0
 1  0  60452   9184    724  27692    8    0     8     0 2445 2629 65 23 12  0
 3  1  60272   8400    724  27848  456   56   504    56 2743 2955 67 26  7  0
 5  0  60688   8988    712  27304  568  628   616   628 4025 2854 67 28  3  2
 4  0  60644   8724    720  27396   40    0    40  2008 2736 2794 64 27 10  0
 6  0  60612   8628    720  27508    4    0     4     0 2766 2750 72 21  8  0
 6  0  60500   8364    720  27648  108    0   108     0 2620 2750 69 25  6  0
 8  1  60804   8364    688  27404 1216  744  1308   744 3436 3069 74 22  4  0
 4  1  60572   9108    680  26752  976  792   976  4756 3941 2394 74 23  3  0
 6  0  60608   9248    680  26692  424  388   548   432 3259 2910 69 27  5  1
 5  0  60416   8876    680  26984  232    0   372     0 2740 2657 70 26  4  0
 5  0  60628   9496    672  26392  288  376   288   376 3857 2925 65 29  7  0
 6  0  60608   9356    672  26604   32    0    32     0 2666 2736 66 26  8  0
 5  0  60604   9264    672  26676    0    0     0     0 2794 2636 68 26  6  0
 2  0  60604   9156    680  26804    0    0     0    16 2740 3247 71 24  5  0
 6  0  60960   9620    656  26572  200  528   264   528 3337 2655 70 21  9  0
 5  0  60880   9528    656  26736  256    0   256     0 2664 2949 72 23  5  0
 2  0  60840   9232    656  26924   52    0    52     0 2582 2842 72 23  5  0
 7  0  60692   9032    656  27008  164    0   164     0 2615 2637 72 23  5  0
 6  0  61512   9512    636  26340  300  876   300   888 3603 3013 67 26  7  0
 4  0  61988   9728    628  26836  472  660  1584  2584 4148 2956 64 27  7  3
 1  0  61804   9652    628  26976  324    0   324     0 2793 3056 71 21  8  0
 6  0  61668   9528    628  27284  120    0   120     0 2729 2970 67 25  9  0
 6  0  61552   8908    628  27632  132    0   340     0 2740 2870 71 24  5  1
 6  0  61500   8784    636  27784    8    0     8    68 2438 2902 69 25  6  0
 1  0  62680   9528    584  27384   16 1204    24  1204 4464 3031 73 22  3  1
 1  0  62500   9528    584  27604  664    0   808     0 2411 3562 58 27 15  0
 1  0  62360   9096    584  27820  204    0   252     0 3123 6372 46 23 32  0
 3  0  62032   8944    584  27996  216    0   216     0 2992 6263 38 27 35  0
 1  0  62028  10000    592  28124    0    0     0    12 3195 6762 41 25 34  0
 1  0  61992  10840    600  28380   32    0   116     0 3141 6624 45 25 30  0
 1  0  61980  11276    600  28524    0    0     0     0 3243 5807 35 19 46  0
 5  0  61952  11060    600  28628   36    0    68     0 3227 6058 33 20 47  0
 3  0  61928  10964    600  28760   32    0    32     0 2762 4399 39 25 36  0
 1  0  61920  10812    608  28764    0    0     0    36 3168 4151 30 18 52  0
 0  0  61852  10688    608  28828   72    0    72     0 2648 3287 25 18 58  0
 1  0  61756  10960    608  28872    8    0     8     0 1902 2178 25 20 56  0
 0  0  61720  10992    608  28920   40    0    40     0 1526 1649 21 13 66  0
 1  0  61560  10744    608  28920  184    0   184     0 1306 1314 20 11 68  0
 0  0  61348  10496    616  29036  232    0   232    12 1028  952 19  8 74  0
 1  0  61264  10372    616  28984   76    0    76     0  800  787 11  5 84  0
 0  0  61196  10372    616  29008   48    0    48     0  727  633 13  6 82  0
 0  0  61092  10064    616  29004  296    0   296     0  599  549  9  4 87  0
 0  0  60964   9940    616  29000  128    0   128     0  545  508  8  3 89  0
 0  0  60892   9940    624  29052   16    0    16    12  644  616 11  4 85  0
 0  0  60892   9940    624  29008    0    0     0     0  545  503 10  2 88  0
 0  0  60856   9816    624  29016   32    0    32     0  551  488  9  4 87  0
