procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0  60776   9816    624  29024   72    0    72     0  535  536  9  2 89  0
 0  0  60708   9816    624  29040   52    0    52     0  476  475  7  1 91  0
 0  0  60684   9816    632  29040    0    0     0    12  589  599 10  3 87  0
 0  0  60580   9312    632  29224  112    0   332    68  456  427  9  1 89  0
 0  0  60536   9312    632  29264   32    0    32     0  494  423 11  2 87  0
 1  0  60508   9312    632  29272   12    0    12     0  546  489  9  4 87  0
 0  0  60504   9312    632  29264    0    0     0     0  426  385 11  2 87  0
 0  0  60500   9312    640  29260    0    0     0    24  499  447  9  1 89  0
 0  0  60492   9312    640  29276    0    0     0  2004  401  336  8  1 91  0
 0  0  60484   9188    640  29232   44    0    44     0  344  321  7  1 92  0
 0  0  60456   9064    764  29196   68    0   192     0  343  330  7  2 91  0
 0  0  60440   9064    764  29272   12    0    12     0  287  267  7  1 92  0
 1  1  60968   8864    632  29360  280  580  4820  1024  930 1123 10  4 71 15
MEDIA
NR:  97 CPU:  67.1579
