procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0  62532  12064    668  27096   26   29    90    57  754  988 26 11 62  1
 1  0  63308  12872    656  26488   28  780    28   780 4313 5642 50 32 12  7
 6  0  64960  13548    656  26152  488 1740   488  1740 3712 4836 43 28 25  4
 7  0  65200  13596    644  25640 1416  612  1488  1184 4979 2752 65 28  6  1
 1  0  65156  13160    644  25752   84    0    84     0 2649 3006 68 27  5  0
 6  0  65152  12876    652  25872    0    0     0    48 2409 1866 69 30  1  0
 7  0  64368  10148    664  27508 1188    0  2700     0 3147 2371 72 25  3  0
 3  0  64300  10024    664  27552   36    0    36     0 2632 2354 63 28  8  1
 7  0  64256   9776    664  27628   32    0    32     0 3338 4478 69 26  5  0
 5  0  64692  10148    664  27548  400  564   400   564 3418 3024 72 23  4  1
 6  0  64560   8988    672  28864  200    0  1360    52 2682 4213 66 19 14  1
 3  0  64416   8660    672  28992  144    0   144     0 2570 3585 64 22 14  0
 5  0  64688   9132    664  28760  204  428   204   428 4423 2998 70 22  4  3
 4  0  64456   8728    664  28904  308    0   308     0 2820 2715 69 26  5  1
 5  0  64228   8232    664  29076  372    0   372     0 3031 3133 75 22  3  0
 7  0  64664   8604    660  28532  148  592   148   636 5418 2924 69 23  6  3
 7  0  64760   9224    660  28312  424  328   464   328 3509 3013 72 22  5  1
 1  0  64680   9208    660  28560  116    0   116     0 3014 3020 71 24  5  0
 1  0  64572   8960    660  28748  208    0   208     0 2865 3287 69 25  6  0
 6  0  64444   8852    660  28792   16    0    16     0 2898 2848 73 19  8  0
 3  0  64300   8852    668  29020   56    0    56    12 2771 2943 72 23  5  0
 2  0  64248   8728    668  29108   16    0    16     0 2687 2734 65 25  9  0
 1  0  64200   8464    668  29324    8    0     8     0 2330 2425 67 24  9  0
 6  1  64020   8200    668  29052  256  176   256   176 3836 3271 70 25  5  0
 4  0  63976   9316    648  27860  304  296   400   296 4484 2938 70 23  6  2
 1  0  63788   9332    656  28048  180    0   224    36 2343 2516 68 25  7  0
 6  0  63656   9100    656  28504  164    0   476     0 2996 3129 71 23  7  0
 7  0  63736   8812    648  28212  428  360   428  4084 3915 2952 74 20  4  2
 1  0  63700   8844    648  28128  408  260   408   260 2877 2491 73 23  5  0
 3  0  63244   8348    648  28312  392    0   392     0 2927 2944 70 22  8  1
 1  0  63388   9184    656  27804    0  156     0   188 3684 3004 72 23  4  1
 4  0  63188   8912    656  27864  144    0   144     0 2642 2957 65 27  8  0
 6  0  63172   8720    656  28048  128    0   128     0 2866 2942 73 22  5  0
 7  0  62928   8596    656  28264  188    0   188     0 2617 3186 68 25  7  0
 7  0  62780   9836    660  26448  140    0   140     0 2895 3404 72 24  4  0
 6  0  62604   9588    668  26688  192    0   192    48 2801 2817 67 25  8  0
 4  0  62556   9340    668  26940   72    0   136     0 2717 2945 72 22  7  0
 4  0  62544   9216    668  27104    0    0     0     0 2791 2835 72 23  5  0
 6  0  62432   8952    668  27336   44    0    44     0 2926 2874 71 21  8  0
 4  0  62340   8812    668  27524   24    0    24     0 2901 3289 70 25  5  0
 4  0  62188   8704    676  27720   76    0    76    12 2853 2875 68 24  8  0
 3  0  61936   8472    676  27796  176    0   176     0 2758 3059 66 28  7  0
 3  1  61924   8100    668  27728  152  120   152   120 3559 3179 70 24  5  1
 1  0  62140   9092    660  27288  308  532   308   532 3186 3230 71 22  7  1
 5  0  62056   8968    660  27496   16    0    16     0 2887 2685 68 25  8  0
 3  0  62000   8844    668  27604   16    0    16    32 2935 3389 73 24  4  0
 1  1  61920   8472    644  27492  132   88   132    88 3158 3089 72 23  4  0
 1  0  61996   9152    476  26532  176  176   176   176 3780 2791 69 27  3  1
 8  0  61852   9216    476  26764   40    0    40     0 3161 3304 71 24  5  0
 6  0  61680   9216    476  26936  164    0   164     0 2676 2824 70 23  7  1
 6  0  61544   8936    484  27108  236    0   236    12 2722 2854 74 23  3  0
 1  0  61472   8812    484  27196   52    0    56     0 2442 2714 70 22  8  0
 5  0  61412   8844    484  27328   32    0    32     0 2721 2707 69 27  4  0
 3  0  61212   8472    484  27556  176    0   176     0 2807 3137 66 27  8  0
 4  0  61424   9044    432  26784   96  260    96   260 4069 2784 69 22  7  2
 5  0  61380   9092    440  27072   40    0   156    12 2635 2534 69 23  9  0
 5  0  61320   8976    440  27176   24    0    24     0 2858 2981 66 26  7  0
 6  0  61176   8852    440  27420  120    0   120     8 2767 2881 72 24  4  0
 6  0  60996   8480    440  27464  124    0   124     0 2687 2982 68 24  8  0
 4  0  60452   7952    440  27716  336    0   336     0 2989 2893 74 22  4  0
 6  1  61240   8376    420  27472  212  928   244   964 4169 3374 71 23  6  1
 2  0  61468   9244    412  26720  648  368   648   368 3795 2545 69 25  4  2
 4  0  61332   8716    412  26964  168    0   276    40 2700 2886 72 23  6  0
 2  0  61276   8716    412  27112    0    0     0     0 2564 2699 69 26  6  0
 1  0  61264   8576    412  27220    8    0     8     0 2788 2904 70 24  6  0
 4  0  61676   9088    400  26980  216  528   216   540 4695 2932 70 26  3  1
 5  0  61596   9056    400  27128   44    0   104     0 2707 2762 72 23  5  0
 3  0  61572   9088    400  27244   16    0    16  1956 2759 2865 72 22  6  0
 4  0  61516   8964    400  27516   60    0    60     0 2492 2715 62 30  9  0
 4  0  61472   8764    400  27736   28    0    28     0 2844 3262 70 21  9  0
 4  1  61992   9444    340  27196  192  564  1588  4776 4279 6665 47 22 27  5
 2  0  62208  11200    340  27116  760  456   968   456 4147 6677 48 27 22  4
 3  0  62072  12420    340  27368   88    0    88     0 3134 7243 45 22 33  0
 0  0  62028  12488    340  27476  136    0   136     0 3112 5935 36 24 40  0
 1  0  61984  12300    340  27492   32    0    32     0 3324 6007 40 15 45  0
 1  0  61916  12208    348  27648   96    0    96    56 3015 5005 33 21 46  0
 0  0  61900  12296    348  27732   64    0    64     0 3103 4338 32 27 42  0
 1  0  60876  11272    348  27800  936    0   952     0 2780 3586 54 23 22  0
 1  0  60264  10204    348  27876  512    0   512     0 2677 3238 55 13 31  0
 2  0  60204  10236    348  27948   20    0    20     0 2585 3221 28 17 55  0
 2  0  60172  10236    356  27988    4    0     4    12 2257 2786 29 18 54  0
 3  0  60084  10332    356  27984    8    0     8     0 2074 2432 26 16 58  0
 0  0  60044  10364    356  28076    8    0     8     0 1658 2115 19 14 68  0
 0  0  59992  10364    356  28092   36    0    36     0 1629 1889 16  9 75  0
 0  0  59988  10364    356  28072   32    0    32     0 1320 1535 16  8 76  0
 1  0  59964  10364    364  28136   12    0    12    16 1411 1410 15 10 75  0
 0  0  59912  10364    364  28188    8    0     8     0 1272 1397 16 10 75  0
 1  0  59912  10288    364  28164    0    0     0     0 1045 1002 16 11 73  0
 0  0  59908  10288    364  28176    8    0     8     0 1185 1258 17  7 76  0
 0  0  59908  10288    364  28196    0    0     0     0  904  885 17  6 77  0
 0  0  59908  10288    372  28208    0    0     0    12  962  924 13  8 79  0
 1  1  53696   7280    368  28252 3264  112  3416   116 2130 1234 30  6 55  9
 0  1  52140   9416    356  26836  960  740  1112  2052 2085 1156 20  6 32 42
 0  0  52240   9912    352  26488   72  120    72   120  764  733 11  2 77 10
 0  0  52240   9912    352  26544    4    0     4     0  742  692 13  6 81  0
 1  0  52240   9912    360  26556    0    0     0    32  790  725 13  5 82  0
 0  0  52240   9820    360  26600    0    0    36     0  582  498  9  4 87  0
 0  0  52240   9820    360  26604    0    0     0     0  557  474 11  3 86  0
 0  0  52240   9820    484  26584    0    0   124     0  533  473  8  3 89  0
 0  0  52236   9820    484  26616    0    0     0     0  402  363  9  3 89  0
 0  0  52236   9820    492  26612    0    0     0    20  493  467  9  3 88  0
 0  0  52228   9820    492  26580   44    0    60     0  384  339  8  2 90  0
 0  0  52228   9820    492  26632    0    0     0     0  407  381  8  2 90  0
 0  0  52228   9820    492  26640    0    0     0     0  349  307  8  1 90  0
 0  0  52228   9820    492  26640    0    0     0     0  295  285  6  0 93  0
 0  0  52228   9820    500  26636    0    0     0    16  444  403  9  1 90  0
 1  0  52228   9852    500  26644    0    0     0     0  339  309  6  1 93  0
 0  0  52188   9852    500  26660   64    0    64     0  325  287  9  1 90  0
 0  0  52144   9852    500  26668   20    0    20     0  341  297 12  1 88  0
 0  0  52128   9852    500  26660    0    0     0     0  320  261  8  0 92  0
 0  0  52120   9728    564  26596    0    0    52    12  342  272  9  1 90  0
 0  0  52120   9728    564  26648    0    0     0     0  348  303  8  1 91  0
 0  0  52088   9728    564  26680    0    0     0     0  321  259  8  1 91  0
 0  0  52028   9728    564  26708    0    0     0     0  329  271 10  0 90  0
 0  0  52024   9728    564  26652    0    0     0     0  273  236  7  0 92  0
 0  0  52016   9728    564  26656    0    0     0     0  280  232  6  0 93  0
 0  0  52000   9728    572  26656    0    0     0    16  334  270  9  2 90  0
 0  0  51980   9728    572  26640   28    0    28     0  280  236  8  0 92  0
 0  0  51960   9728    572  26668    0    0     0     0  276  247  7  1 92  0
 0  0  51932   9604    572  26776    0    0   104     0  272  246  7  0 93  0
 0  0  51868   9604    572  26764   60    0    60     0  360  233 14  2 84  0
 0  0  51848   9604    580  26764    0    0     0    12  346  273  8  1 90  0
MEDIA
NR:  124 CPU:  63.7787
