Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,70000,130,12,325,674,1654,1,7653,0.000%,151.19607,293.70,0.00
/P1-base/procesapago,70000,140,26,332,682,1667,3,7728,0.000%,150.99614,185.22,0.00
TOTAL,140000,135,20,329,679,1658,1,7728,0.000%,300.57689,476.29,0.00
