Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,280000,1483,729,2083,4585,19944,0,131191,0.143%,218.05614,423.75,0.00
/P1-base/procesapago,280000,1474,750,2132,4549,18419,3,131211,0.178%,218.01607,267.75,0.00
TOTAL,560000,1478,740,2106,4565,19089,0,131211,0.160%,435.29225,690.25,0.00
