procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  48900  10776    856  29044   11   17    79    39  646  790 23  9 66  1
 2  0  48892  11000    856  29112    0    0     0     0 2742 3872 28 22 50  0
 0  0  48892  11032    856  29288    0    0    32     0 2640 4137 33 24 42  0
 5  0  48892  11000    856  29312    0    0     0     0 3000 4672 37 23 40  0
 2  0  48892  10968    856  29416    0    0     0     0 3184 5396 36 18 46  0
 1  0  48888  10596    864  29592   96    0    96    44 2817 4747 34 19 47  0
 4  0  48884  10628    864  29616    0    0     0     0 3087 4981 46 21 34  0
 0  0  48884  10596    864  29720    0    0     0     0 3023 5094 34 22 44  0
 1  0  48884  10504    864  29820    0    0     0     0 3120 4868 34 19 46  0
 4  0  48884  10504    864  29916    0    0     0     0 3645 5502 33 17 50  0
 4  0  48884  10300    872  30016    0    0     0    20 2774 4933 33 26 41  0
 6  0  48884  10144    872  30120    0    0     0     0 2840 4863 35 16 49  0
 8  0  48864  10020    872  30224    0    0     0     0 2249 3959 41 30 28  0
 1  0  48860   9896    872  30320    4    0     4     0 2903 5045 37 21 42  0
 1  0  48844   9680    872  30416   72    0    72     0 3197 4740 32 22 45  0
 6  0  50560  11756    868  29968  280 1732   280  3628 3437 4799 41 24 33  1
 3  0  50556  11756    868  30080    0    0     0     0 3069 5107 33 20 47  0
 7  0  50508  11664    868  30180   32    0    32     0 3080 5013 37 22 41  0
 0  0  50480  11600    868  30280    0    0     0     0 3263 5682 31 18 51  0
 0  0  50324  11508    868  30360  332    0   332     0 3047 4526 44 23 33  0
 1  0  50300  11168    876  30476   36    0    36    40 3241 5443 33 22 44  0
 0  0  50264  10952    876  30592   72    0    72     0 3343 5018 28 18 54  0
 0  0  50244  10796    876  30676   36    0    36     0 3129 5328 31 18 51  0
 1  0  50184  10640    876  30780  100    0   100     0 2921 4939 40 24 35  0
 0  0  50164  10516    876  30876   36    0    36     0 3296 5190 30 17 54  0
 2  0  50268  10268    884  31016    0  104     0   136 3139 5371 34 22 43  0
 2  0  51116  11168    880  30844  480  992   584   992 3520 5334 38 18 44  0
 0  0  51104  11012    880  31060    0    0    80     0 2993 5420 33 18 50  0
 1  0  51076  10828    880  31224   64    0   156     0 3268 5710 32 17 51  0
 0  0  51036  10452    880  31324   64    0    64     0 2918 4838 35 23 42  0
 4  0  52004  11260    884  31128   32  980    48  1060 3236 5448 37 24 39  0
 1  0  51932  11324    884  31220  260    0   260     0 3282 5399 34 15 51  0
 0  0  52104  11872    884  31392   40  204   352   220 3388 5249 30 16 55  0
 0  0  52076  11656    884  31488  128    0   128     0 3174 5853 34 18 48  0
 1  0  52060  11532    884  31588    4    0     4     0 2893 4501 32 27 41  0
 2  0  52004  11128    892  31756  104    0   104    48 3308 5899 34 13 52  0
 0  0  51972  10880    892  31792   56    0    56     0 3181 5444 29 18 53  0
 2  0  52660  11756    888  31552   64  696    64   696 3559 5570 32 18 50  0
 0  0  52620  11476    888  31580  232    0   232     0 3121 5001 40 22 38  0
 3  0  52616  11508    888  31664    0    0     0     0 3402 5355 29 14 57  0
 2  0  52596  11384    896  31748   40    0    40    32 3405 5926 31 16 53  0
 3  0  52548  11352    896  31872   60    0    60     0 2884 4868 40 21 39  0
 1  0  52524  11308    896  31968   20    0    20     0 3081 5274 41 20 39  0
 2  0  52460  11028    896  32072   84    0    84     0 2963 5145 31 20 49  0
 0  0  52416  10780    896  32168   76    0    76     0 3042 4995 38 20 42  0
 0  0  52348  10656    904  32260   56    0    56   112 3453 5090 28 20 52  0
 2  0  52316  10408    904  32344  108    0   108     0 2877 3878 31 19 49  0
 1  0  53572  12192    892  31812  288 1288   420  4408 3735 4263 26 15 58  1
 0  0  53496  12192    892  31876  136    0   136     0 2672 3354 21 12 67  0
 2  0  53440  12068    892  31944   40    0    40     0 2196 2776 24 10 65  0
 2  0  53376  12068    900  31972   40    0    40    32 1782 2112 21 16 63  0
 2  0  53364  11976    900  32024    0    0    20     0 1618 1774 22 18 60  0
 0  0  53332  11852    900  32044    0    0     0     0 1246 1223 21  8 72  0
 0  0  53296  11852    900  32056   96    0    96     0  780  716 11  6 82  0
 0  0  53176  11604    900  32100  256    0   256     0  569  440 13  4 83  0
 0  0  53068  11604    908  32024   64    0    64    12  333  277  9  1 90  0
MEDIA
NR:  58 CPU:  49.9821
