procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 2  0  69908  15612    880  30144   16    0    16  2008 2999 6177 41 20 39  0
 0  0  69852  15588    880  30248  104    0   104     0 2953 6041 39 22 40  0
 0  0  69800  15464    880  30288   68    0    68     0 2495 5039 37 20 43  0
 5  0  69768  15312    880  30460   92    0    92     0 3030 4924 34 23 44  0
 0  0  69700  15032    944  30532   96    0   148    44 3189 5297 36 17 47  0
 2  0  69680  14812    944  30612   28    0    28     0 3173 5072 32 20 48  0
 3  0  69612  14864    944  30716   72    0    72     0 3212 5207 30 16 54  0
 5  0  69584  14896    944  30812   20    0    20     0 3076 4117 25 15 60  0
 0  0  69544  14664    944  30876   44    0    44     0 3145 4496 29 18 53  0
 0  0  69540  14508    952  30960    0    0     0    12 2675 3715 30 21 49  0
 3  0  69488  14416    952  31068  120    0   120  1956 2790 3803 29 18 52  0
 0  0  69488  14416    952  31100    0    0     0     0 2863 3801 26 18 57  0
 0  0  69444  14324    952  31152   56    0    56     0 2524 3493 26 19 55  0
 1  0  69384  14076    952  31216   68    0    68     0 2479 3096 29 15 57  0
 5  0  69312  13984    960  31264   84    0    84    20 2243 2815 26 19 55  0
 0  0  69312  13984    960  31328    0    0     0     0 2357 2847 25 19 57  0
 0  0  68884  13616    960  31400  412    0   412     0 2451 3097 28 17 55  0
 0  0  68860  13664    960  31436   16    0    16     0 1834 2172 17  9 74  0
 0  0  68860  13540    960  31468    0    0     0     0 2154 2733 19  9 72  0
 1  0  68828  13416    968  31476   60    0    60    12 2068 2460 23 14 63  0
 0  0  68828  13384    968  31548    0    0     0  1956 1865 2165 26 19 55  0
 0  0  68812  13416    968  31592   12    0    12     0 1953 2190 29 17 54  0
 2  0  68752  13320    968  31664   20    0    20     0 1671 2133 20  9 71  0
 1  0  68728  13136    968  31656   32    0    32     0 1656 1893 20 10 70  0
 0  0  68708  13136    976  31652   56    0    56    24 1848 2238 18  9 73  0
 0  0  68672  12516    976  32024   16    0   276    32 1581 1805 16 11 73  0
 0  0  68664  12516    976  32032    0    0     0     0 1612 1682 25 17 59  0
 2  0  68656  12516    976  32064    8    0     8     0 1586 1736 19 16 65  0
 1  0  68640  12424    976  32088    8    0     8     0 1469 1593 17  9 74  0
 0  0  68628  12424    984  32108    0    0     0    48 1534 1674 21 10 70  0
 1  0  68608  12424    984  32128   28    0    28     0 1329 1451 15  9 76  0
 1  0  68576  12300    984  32148   40    0    40     0 1489 1553 24 12 64  0
 0  0  68564  12316    984  32192    0    0     0     0 1496 1480 24 17 60  0
 0  0  68548  12192    984  32188   32    0    32     0 1210 1364 15  7 78  0
 1  0  68520  12192    992  32240    8    0     8    20 1374 1503 17  9 75  0
 0  0  68512  12192    992  32256    0    0     0  1652 1253 1332 16 10 74  0
 0  0  68480  12192    992  32300    4    0     4     0 1383 1529 24 13 63  0
 0  0  68480  12192    992  32292    0    0     0     0 1210 1235 20 11 70  0
 3  0  68480  12068    992  32312    0    0     0     0 1155 1110 17 13 71  0
 0  0  68448  12068   1000  32292   60    0    60    32 1295 1410 16 10 74  0
 0  0  68440  12068   1000  32352    4    0     4     0 1067 1160 16  8 76  0
 0  0  68436  12068   1000  32356   12    0    12     0 1072 1095 16  9 75  0
 0  0  68420  11944   1000  32372   24    0    24     0 1025 1089 14  6 80  0
 0  0  68412  11944   1000  32400    0    0     0     0  894  916 13  5 83  0
 0  0  68408  11944   1008  32376   24    0    24    12  884  888 13  6 81  0
 1  0  68400  11944   1008  32392   32    0    32     0  856  757 16  6 78  0
 0  0  68388  11820   1008  32404   32    0    32     0  715  672 10  5 84  0
 1  0  68388  11820   1008  32436    0    0     0     0  855  739 12  7 81  0
 4  0  68380  11820   1008  32448    0    0     0     0  562  544 11  2 87  0
 0  0  68368  11820   1016  32440   12    0    12    12  557  532 10  3 86  0
 1  0  68092  11448   1016  32420  308    0   328     0  692  565 17  4 79  0
 0  0  65408   9712   1016  32556 2140    0  2224     0 1151  961 24  3 72  0
 0  0  65400   9712   1016  32572    0    0     0     0  504  450  9  3 88  0
 0  0  65396   9712   1016  32572    0    0     0     0  501  429 10  2 88  0
 0  0  65396   9712   1016  32572    0    0     0     0  424  399  9  2 89  0
 0  0  65392   9744   1024  32548   32    0    32    20  642  588 11  3 86  0
 0  0  65388   9744   1024  32588    0    0     0     0  468  422  9  2 89  0
 0  0  65384   9496   1024  32568   28    0    28     0 1110 1319 17  7 76  0
 0  0  65380   9496   1024  32616   12    0    12     0  694  732 10  5 85  0
 0  0  65376   9496   1024  32632    0    0     0     0  681  726  9  4 86  0
 0  0  65356   9496   1032  32632   32    0    32    28 1221 1245 15 10 75  0
