procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 4  0  59552  10448    744  35564   13   20    78    44  685  872 24 10 65  1
 6  0  59524  10532    744  35696   60    0    60     0 2694 5077 40 24 36  0
 2  0  59508  10532    744  35812   32    0    32     0 2823 5054 38 21 41  0
 2  0  60316  10964    728  35380  132  816   192   816 2728 4560 46 23 29  2
 1  0  60564  10916    736  35240  116  260   116   308 2941 4965 52 27 22  0
 7  0  60552  11076    736  35480    0    0    80     0 3012 6490 44 23 32  0
 6  0  60548  11276    736  35632    0    0    12     0 2490 4773 44 25 31  0
 8  0  60340  11064    736  35740  512    0   512     0 3048 6275 54 21 25  0
 3  0  60332  10396    736  35884    4    0     4     0 2176 3620 43 29 27  1
 5  0  61236  10744    740  35216   52  920    52   932 2977 4407 44 27 26  3
 2  0  61652  11144    740  35144  224  436   224   436 2967 5492 46 25 28  1
 1  0  61604  12068    740  35276   32    0    32     0 3313 7602 52 20 28  0
 1  0  61600  12564    740  35428    0    0     0     0 3263 5932 43 20 36  0
 6  0  61596  12116    740  35532   88    0    88     0 2413 3999 46 28 26  0
 5  0  61556  11708    752  35660  100    0   100    32 3433 6609 48 23 30  0
 5  0  61500  12160    752  35860   36    0    36     0 3406 6961 40 18 41  0
 3  0  61488  11868    752  36004   96    0   112     0 3287 6883 40 18 42  0
 0  0  61328  11468    752  36164  324    0   324     0 3318 6945 46 21 33  0
 0  0  61096  10880    752  36308  356    0   356     0 3312 6597 44 16 39  0
 1  0  61088  10504    760  36528    0    0    80    12 3150 6039 47 20 34  0
 2  0  61592  11336    728  35728   92  548   248   592 2837 6211 41 27 30  3
 4  0  61520  11656    728  35880  188    0   188     0 3340 7286 42 22 35  0
 4  0  61468  11580    728  36020   72    0    72     0 2998 5820 39 21 40  0
 4  0  62052  11172    656  36348  208  696  1208   696 3686 6514 42 25 32  0
 0  0  61836  11364    664  36428  212    0   212    72 3030 6253 46 21 33  0
 0  0  62208  11544    604  36324   32  412    32   412 3377 6256 44 23 30  3
 1  0  62180  11384    604  36420   32    0    32     0 3067 6411 40 20 41  0
 3  0  62140  11720    604  36576   32    0    32     0 3039 6397 42 22 36  0
 4  0  62108  11720    604  36724   12    0    12     0 3146 6858 42 24 34  0
 3  0  62060  11440    612  36872   32    0    32    32 3395 7153 40 23 38  0
 0  0  62032  11380    612  37024   28    0    28  2032 3134 6937 39 17 44  0
 1  1  61248   6716    504  28272 18132 6584 18324  9116 5842 5180 39 15 27 19
 8  2  46464   8980    428  24360 3960 3376  4112  3668 9553 1683 24 19 13 44
 6  0  48472   9368    376  23852 2128 2208  2356  2316 7225 4012 68 28  3  1
 4  0  48288   9632    384  23968  360    0   384    44 2656 3929 69 24  7  0
 1  0  48284  10744    384  24168    8    0    60     0 2829 6306 49 21 30  0
 1  0  48272  10560    384  24276  120    0   120     0 3031 6732 43 24 33  0
 3  0  48264  10580    384  24476    0    0     0     0 3078 6718 37 19 45  0
 0  0  48264  10456    384  24632   32    0    32     0 3224 7009 41 21 38  0
 2  0  48244  10052    396  24948   12    0   192    12 3150 6408 45 24 31  0
 0  0  48240   9992    396  25096    0    0     0     0 3131 6827 44 20 37  0
 2  0  48240   9836    396  25252    0    0     0     0 3224 7024 43 21 36  0
 2  0  48188   9744    396  25400   20    0    20     0 3056 6753 39 19 42  0
 2  0  48184   9432    396  25552    0    0     0     0 3088 6677 41 25 34  0
 0  0  48168   9116    404  25676   32    0    32    32 3027 6319 39 22 39  0
 5  0  48152   8964    404  25848   32    0    32     0 3087 6516 42 25 33  0
 0  0  48120   8924    404  26020  132    0   160     0 3207 6720 41 16 43  0
 1  0  48096   8388    404  26152    0    0     0     0 2853 5660 44 29 27  0
 2  0  48092   8456    404  26308   32    0    56     0 2904 5931 47 27 26  0
 0  0  47996   8272    412  26436  156    0   156    12 3041 6042 39 16 45  0
 6  0  47876   8088    412  26540   64    0    64     0 3069 5929 40 22 38  0
 0  0  47804   7964    412  26684    0    0     0     0 2995 4871 36 23 41  0
 1  0  47700   8028    412  26728   64    0    64     0 3145 4444 29 20 50  0
 1  0  48016   9020    396  26092   32  356    32   356 3501 4248 30 18 47  5
 0  0  47836   8648    404  26140  260    0   260    12 2643 3175 29 17 53  0
 1  0  47756   8556    404  26188   92    0    92     0 2250 2499 25 15 61  0
 0  1  47340   8140    404  26220  152    0   152     0 1775 1830 43 11 46  0
 2  0  47696   9116    396  25828  192  420   192   420 1734 1111 28  6 55 11
 0  0  47648   9116    396  25836   96    0    96     0  750  679 12  7 81  0
 0  0  47624   9116    396  25840    0    0     0     0  471  423  9  1 89  0
 1  0  47548   8868    404  25844   76    0    76    12  611  313 42  1 57  0
 0  1  47508   6988    400  26404   48   20  1096    20  961  431 36  2 38 24
MEDIA
NR:  64 CPU:  60.8548
