procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  3  41444  10348    660  19300   11   16    83    39  618  755 23  9 67  1
 2  0  41604  10496    668  19728  404  216   996   220 1460 1345 20  8 66  6
 0  0  41596  10496    668  19780    0    0    28     0 1485 1633 26  8 66  0
 0  0  41588  10496    668  19804    0    0     0     0 1268 1286 20 12 67  0
 1  0  41508  10496    676  19824  160    0   160    52 1544 1602 33 14 53  0
 0  0  41368  10372    676  19880  224    0   224     0 1421 1614 22  8 70  0
 1  0  41360  10372    676  19888    4    0     4     0 1412 1431 28 15 56  0
 0  0  41348  10216    676  19908    0    0     0     0 1523 1790 24 10 66  0
 2  0  41340  13856    676  19932   64    0    64     0 1381 1433 18 12 69  0
 0  0  41320  13856    684  19960  132    0   132    12 1583 1698 25 13 62  0
 0  0  41300  13732    684  19984   32    0    32     0 1519 1581 25 17 58  0
 0  0  41268  13576    684  20204   32    0   228     0 1444 1464 24 12 65  0
 1  0  41252  13576    684  20228    0    0     0     0 1541 1671 21 10 69  0
 0  0  41208  13328    684  20256    0    0     0     0 1451 1615 20  8 72  0
 0  0  41176  13204    692  20280   32    0    32    12 1431 1682 25 11 63  0
 0  0  41172  13204    692  20304   32    0    32     0 1407 1594 16 10 74  0
 0  0  41124  13204    692  20332   64    0    64     0 1411 1747 20 10 70  0
 0  0  41120  13204    692  20356    0    0     0     0 1432 1538 24 15 61  0
 2  0  41116  13204    692  20352   32    0    32     0 1466 1538 25 14 60  0
 0  0  41112  13080    700  20408    0    0     0    12 1349 1471 20 14 66  0
 0  0  41108  13080    700  20428    0    0     0     0 1503 1688 25 11 64  0
 0  0  41100  13080    700  20456    0    0     0     0 1434 1561 22 11 67  0
 0  0  41096  13080    700  20480   32    0    32     0 1269 1464 15 12 73  0
 0  0  41088  12832    700  20508   96    0    96     0 1513 1833 20 10 71  0
 1  0  41088  12832    708  20532    0    0     0    20 1301 1456 17  9 75  0
 0  0  41088  12832    708  20556    0    0     0     0 1480 1456 23 17 59  0
 0  0  41088  12864    720  20584    0    0    12     0 1511 1760 17  8 75  0
 0  0  41088  12864    720  20604    0    0     0     0 1359 1402 17 14 69  0
 0  0  41088  12740    720  20632    0    0     0     0 1476 1692 17 12 71  0
 0  0  41084  12740    728  20656    0    0     0    16 1433 1574 20  9 71  0
 1  0  41084  12740    728  20680    0    0     0     4 1381 1518 18 15 67  0
 1  0  40824  12312    728  20688  296    0   296     0 1638 1761 28 14 58  0
 0  0  40636  12188    728  20732   96    0    96     0 1410 1478 24 12 64  0
 0  0  40636  12096    728  20756    0    0     0     0 1318 1435 19 11 70  0
 1  0  40632  12096    736  20784    0    0     0    16 1419 1646 18 12 70  0
 0  0  40632  12096    736  20816    0    0     0   904 1378 1447 22  8 70  0
 2  0  40628  12064    736  20844    0    0     0     0 1583 1727 20 12 68  0
 0  0  40616  12064    736  20872    8    0     8     0 1410 1430 25 14 62  0
 0  0  40608  12096    736  20896    0    0     0     0 1327 1380 21 15 63  0
 0  0  40608  11972    744  20916    0    0     0    24 1492 1566 22 12 66  0
 4  0  40588  11972    744  20952    8    0     8     0 1384 1564 18 10 72  0
 0  0  40588  11848    744  20968    0    0     0     0 1600 1733 20 16 65  0
 0  0  40580  11848    744  20992   32    0    32     0 1344 1549 17 11 72  0
 5  0  40576  11724    744  21020   32    0    32     0 1429 1670 21 10 69  0
 7  0  40572  11724    752  21040    0    0     0    12 1259 1298 22 12 65  0
 0  0  40572  10608    752  21512   40    0   488    16 1564 1700 21 11 68  0
 0  0  40572  10608    752  21528    0    0     0     0 1109 1190 12  8 80  0
 0  0  40572  10608    752  21544    0    0     0     0 1066 1112 15 10 75  0
 3  1  40556   8056    752  23840   12    4  2528     4 1118  963 20  8 54 18
 1  1  40548   8568    760  23136    0    8     0    60 1835  745 22 10 30 38
 1  0  40544   8568    760  23200   24    0   156     0  740  687 14  3 80  2
 0  0  40544   8568    760  23208    0    0     0     0  697  637 11  4 84  0
 0  0  40544   8568    760  23212    0    0    60     0  575  514 10  2 88  0
 0  4  40616   6476    392  24108    0   72  3264   568 1872  772  7  6 59 29
MEDIA
NR:  56 CPU:  31.2593
