procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 5  2  71060  13548    924  28328   30   32    88    63  798 1003 28 12 60  1
 5  0  70980  12920    924  28604  368    0   580     0 2437 2775 68 28  4  0
 7  0  70928  12856    924  28740   48    0    48     0 2640 3347 72 24  5  0
 2  0  70916  12832    924  28992   20    0    20     0 2389 2503 70 26  4  0
 4  0  70852  12636    924  29032  120    0   120     0 2201 1957 72 23  4  1
 2  0  70840  12560    932  29104    0    0     0    60 2245 2153 73 20  7  0
 2  0  70828  12184    932  29260   44    0    44     0 2892 3616 69 24  7  0
 6  0  70816  12252    932  29460   12    0    12     0 3862 5337 78 18  4  0
 6  0  70780  11832   1188  29568   52    0   320     0 3174 3638 66 25  8  0
 4  0  70752  11632   1188  29740   24    0    24     0 2323 2589 69 26  5  0
 4  0  70700  11304   1196  29844   88    0    88    56 2401 2567 71 22  7  0
 5  0  70664  11164   1196  29944   44    0    44     0 2175 2379 67 25  8  0
 6  0  70636  10932   1196  30132   80    0    80     0 2747 2872 71 25  5  0
 4  0  70600  10572   1196  30216   44    0    44     0 2604 2783 70 21  9  0
 2  0  70584  10572   1196  30356   12    0    12     0 3343 4556 67 26  7  0
 4  0  70548  10308   1204  30520   48    0    48    16 3109 3032 78 20  3  0
 3  0  70424   9980   1204  30716  108    0   108     0 2821 2862 74 20  6  0
 4  0  70364   9720   1204  30884   72    0    72     0 2433 2799 73 20  7  0
 1  0  70228   9580   1204  31040   44    0    44     0 2663 2820 69 21  9  0
 4  0  70208   9472   1204  31232   28    0    28     0 2984 3160 73 21  6  0
 2  0  70508   9720   1124  30948  112  412   112   424 3765 2961 75 20  3  1
 3  0  70508   9720   1124  31088  196    0   196     0 2955 3189 75 21  4  0
 3  0  71144  10216   1044  30396  644 1508   772  1508 5085 2986 69 24  5  3
 6  0  71112  10216   1044  30500   36    0    36     0 3840 5966 72 24  5  0
 4  0  70888  10168   1044  30892  124    0   300     0 2721 3027 70 21  9  1
 4  0  70848  10216   1052  30932    0    0     0    36 2607 2881 72 24  4  0
 6  0  70536   9952   1052  31168  236    0   236     0 2380 2500 67 24  9  1
 3  0  71060  10264   1052  30724  376  720   424   720 3648 2907 70 23  7  0
 2  0  71364  10344   1464  30592  256  416  1476   420 4275 2997 72 23  4  2
 6  1  62604   7128   1340  25292 9068  400  9216  4440 2750 2359 50 10 37  3
 6  1  65824  11816   1280  22512  532 3320  1344  3876 14009 3914 63 34  1  3
 6  0  67096  12468   1252  22168  424 1436   424  1436 5388 3341 71 23  5  2
 1  0  67068  12436   1252  22256   32    0    32     0 2336 2494 69 23  8  0
 1  0  67056  12452   1252  22556   28    0    28     0 2953 3345 70 23  8  0
 5  0  67040  12436   1252  22692   48    0    48     0 2828 2728 72 21  7  0
 6  1  67040  12420   1308  22848    4    0    52    28 2521 2611 69 23  8  0
 3  0  67028  13832   1308  21000   36    0    36     0 3125 3122 70 25  6  0
 3  0  67024  13864   1308  21160    0    0     0     0 2609 2739 68 26  6  0
 3  0  67024  13708   1308  21228    0    0     0     0 2424 2531 67 22 11  0
 7  0  67020  13552   1308  21576    0    0     0     0 2831 3031 72 21  7  0
 4  0  66976  13584   1316  21636    4    0     4    44 2620 2710 73 23  4  0
