Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,222500,1269,695,1852,3971,17150,0,131191,0.096%,173.27675,336.69,0.00
/P1-base/procesapago,222500,1286,717,1908,4020,17060,3,131211,0.124%,173.24491,212.70,0.00
TOTAL,445000,1278,705,1880,3994,17081,0,131211,0.110%,345.90188,548.39,0.00
