procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 8  2  54208  11768    568  23996   29   30    92    59  774  998 27 11 61  1
 8  0  54176  11844    572  24232  124    0   140     0 2642 5686 52 27 20  2
 4  1  54700  12036    540  22912   24  528    24  1188 7022 4377 48 33 10  9
 3  0  56148  12928    524  22220  444 1552   480  1684 7893 4332 63 28  3  6
 6  0  56520  13324    560  22000  424  440   672   504 4927 2808 64 33  2  2
 5  0  57188  14656    548  21648  324  684   324   684 4626 2654 69 29  2  1
 7  0  57152  14688    548  21748   68    0    68     0 2495 2355 70 22  7  0
 5  1  57468  14604    548  21560   32  332    32   332 3181 2281 72 22  5  1
 2  0  57544  14744    556  21696  244   92   264    92 3541 4270 68 27  5  0
 6  0  57528  14636    564  21952    8    0   132    12 2814 2786 71 23  6  0
 5  0  57500  14200    564  22264  100    0   208     0 3147 3927 72 24  4  0
 1  0  57492  14280    564  22396    0    0     0     0 2667 2488 70 22  7  0
 1  0  57480  13888    564  22540    0    0     0     0 2998 3068 70 24  6  0
 4  1  58020  13760    564  22400  224  716   284   716 3650 2850 73 22  6  0
 5  0  58132  13948    572  22656  356  156   356   192 3176 3083 67 26  7  1
 6  0  58104  13840    572  22804   36    0    36     0 2969 3134 68 23  9  0
 5  0  58100  13560    572  22940    0    0     0     0 2839 2693 68 23  8  0
 3  0  58088  13592    572  23124    0    0     0     0 2931 2994 69 22  9  0
 5  0  58056  13328    572  23376   32    0    32     0 2803 2980 72 23  6  0
 3  0  58056  13064    580  23444    0    0     0    12 2857 2984 74 18  8  0
 6  0  58040  12972    580  23604    8    0     8     0 2834 2742 74 21  5  0
 6  0  57976  12472    580  24016  120    0   268     0 2965 3009 75 20  5  0
 1  0  57812  12040    580  24200  268    0   328     0 2606 2508 67 21 11  0
 6  0  57812  11480    584  24476    0    0   220     0 3009 3046 74 21  6  0
 1  0  57812  11372    592  24656    0    0     0    12 2329 1999 65 22 13  0
 5  0  57788  11216    592  24908   24    0    88     0 2918 3043 74 22  4  0
